t,y
-0.0007158487027196098,0.422857142857143
0.03334479524851515,0.48857142857142877
0.06517974366989683,0.5371428571428573
0.10029071584870271,0.582857142857143
0.1337105345420444,0.6057142857142859
0.16599249765551732,0.6085714285714288
0.20097843075961236,0.5971428571428573
0.2337886839637387,0.5914285714285716
0.26654266958424505,0.5600000000000002
0.30145357924351357,0.5142857142857145
0.33469834323226005,0.4571428571428573
0.36847764926539545,0.3942857142857144
0.40275398562050635,0.30857142857142866
0.43429509221631757,0.22285714285714298
0.46742732103782425,0.11428571428571443
0.50054704595186,0
